Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Czech Republic,CZE,5772000000,6702000000,7775000000,9228000000,8164000000,8068000000,8930000000,8174000000,7792000000,7614000000,6766000000,7041000000
Germany,DEU,40531000000,45538000000,49332000000,53397000000,47462000000,49126000000,53431000000,51645000000,55486000000,58701000000,50645000000,52129000000
Djibouti,DJI,7100000,9800000,6800000,7800000,16000000,18000000,19200000,20500000,21600000,24700000,30900000,33500000
Dominica,DMA,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,215000000,235000000
Denmark,DNK,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7046000000
Dominican Republic,DOM,3518000000,3917000000,4064000000,4166000000,4049000000,4163000000,4391000000,4687000000,5064000000,5630000000,6116000000,6723000000
Algeria,DZA,477000000,393000000,334000000,473000000,361000000,324000000,300000000,295000000,326000000,348000000,357000000,243000000
East Asia & Pacific (excluding high income),EAP,64461064537,77313118094,93912107319,1.00673E+11,92036434423,1.07172E+11,1.22689E+11,1.34954E+11,1.48555E+11,1.41365E+11,1.45465E+11,1.50926E+11
Early-demographic dividend,EAR,1.00251E+11,1.08898E+11,1.28296E+11,1.41174E+11,1.33537E+11,1.51674E+11,1.58318E+11,1.68011E+11,1.76224E+11,1.9218E+11,1.91387E+11,1.84105E+11
East Asia & Pacific,EAS,1.4842E+11,1.62211E+11,1.93594E+11,2.14842E+11,2.04351E+11,2.50067E+11,2.90852E+11,3.19179E+11,3.46906E+11,3.54366E+11,3.40614E+11,3.53642E+11
Europe & Central Asia (excluding high income),ECA,48995861384,52218751140,63720706118,78055151897,67785053314,67806253337,80802666804,84314568643,93905878496,93187721118,80040010166,73432476841
Europe & Central Asia,ECS,4.02132E+11,4.33671E+11,4.99223E+11,5.41165E+11,4.70807E+11,4.68603E+11,5.34834E+11,5.30865E+11,5.71659E+11,5.9847E+11,5.23904E+11,5.23422E+11
Ecuador,ECU,488000000,492000000,626000000,745000000,674000000,786000000,849000000,1039000000,1251000000,1487000000,1557000000,1449000000
"Egypt, Arab Rep.",EGY,7206000000,8133000000,10327000000,12104000000,11757000000,13633000000,9333000000,10823000000,6747000000,7979000000,6897000000,3305000000
Euro area,EMU,2.64158E+11,2.82703E+11,3.20616E+11,3.43883E+11,3.01977E+11,2.9513E+11,3.3505E+11,3.26375E+11,3.49627E+11,3.65558E+11,3.13021E+11,3.20982E+11
Eritrea,ERI,66000000,60000000,61000000,46000000,26000000,,,,,,,48000000
Spain,ESP,49565000000,53160000000,59910000000,64422000000,55748000000,54305000000,62447000000,57877000000,62584000000,65099000000,56532000000,60605000000
Estonia,EST,1229000000,1361000000,1416000000,1643000000,1090000000,1065000000,1256000000,1286000000,2022000000,2231000000,1843000000,1896000000
Ethiopia,ETH,533000000,639000000,790000000,1184000000,1119000000,1434000000,1998000000,1980000000,2236000000,2107000000,2279000000,2138000000
European Union,EUU,3.48521E+11,3.7707E+11,4.3083E+11,4.58282E+11,3.96298E+11,3.91413E+11,4.42469E+11,4.34636E+11,4.65987E+11,4.92468E+11,4.31568E+11,4.38943E+11
Fragile and conflict affected situations,FCS,10673295345,10567589351,12981295844,14752772078,16880401029,21289134013,15600145024,17390697723,18645106087,19972527729,21433888821,
Finland,FIN,3069000000,3515000000,4287000000,4873000000,4104000000,4510000000,5591000000,5415000000,4048000000,3679000000,2560000000,2717000000
Fiji,FJI,722000000,684000000,722000000,952000000,688000000,825000000,955000000,989000000,966000000,1034000000,1037000000,
France,FRA,52139000000,54587000000,63902000000,68001000000,58858000000,56187000000,66087000000,64000000000,66060000000,67382000000,52959000000,50883000000
Faroe Islands,FRO,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,21000000,23000000,25000000,27000000,22000000,24000000,22000000,22000000,27000000,29000000,25000000,
Gabon,GAB,13000000,,,,,,,,,,,
United Kingdom,GBR,41736000000,45949000000,51345000000,47637000000,38608000000,41468000000,47115000000,51020000000,55945000000,62604000000,60807000000,55558000000
Georgia,GEO,287000000,361000000,440000000,505000000,537000000,737000000,1069000000,1565000000,1916000000,1972000000,2117000000,2370000000
Ghana,GHA,867000000,910000000,990000000,970000000,849000000,706000000,797000000,1154000000,1010000000,1027000000,911000000,952000000
Gibraltar,GIB,,,,,,,,,,,,
Guinea,GIN,,,1100000,2400000,4900000,2040000,2120000,1680000,,17400000,27000000,17400000
"Gambia, The",GMB,59000000,69000000,87000000,80200000,64000000,80000000,86000000,104000000,78000000,110000000,121000000,120000000
Guinea-Bissau,GNB,1600000,2800000,28400000,38200000,12000000,13600000,14500000,6800000,17400000,20800000,17300000,
Equatorial Guinea,GNQ,,,,,,,,,,,,
Greece,GRC,13453000000,14495000000,15687000000,17586000000,16027000000,13858000000,16256000000,14671000000,17436000000,19481000000,17260000000,16533000000
Grenada,GRD,71000000,94000000,129000000,127000000,112000000,112000000,117000000,122000000,120000000,466000000,493000000,510000000
Greenland,GRL,,,,,,,,,,,,
Guatemala,GTM,791000000,919000000,1055000000,1335000000,1359000000,1378000000,1350000000,1419000000,1479000000,1564000000,1580000000,1550000000
Guam,GUM,,,,,,,,,,,,
Guyana,GUY,35000000,37000000,50000000,59000000,35000000,80000000,95000000,64000000,77000000,79000000,65000000,
High income,HIC,6.08041E+11,6.47335E+11,7.4098E+11,8.06881E+11,7.21426E+11,7.79209E+11,8.82049E+11,9.09993E+11,9.77001E+11,1.04348E+12,9.8091E+11,9.95134E+11
"Hong Kong SAR, China",HKG,13588000000,15541000000,18237000000,20236000000,20291000000,27208000000,33169000000,37098000000,42426000000,46079000000,42229000000,37976000000
Honduras,HND,465000000,515700000,546600000,619800000,616100000,626700000,641500000,683700000,618000000,642000000,652000000,692000000
Heavily indebted poor countries (HIPC),HPC,6595825706,7429095591,9143232570,10053837770,9566536566,9833712352,12241548582,14000065895,15161563385,15236355624,15423072660,15373759791
Croatia,HRV,7625000000,8296000000,9617000000,11615000000,9300000000,8299000000,9598000000,8912000000,9715000000,10079000000,9018000000,9820000000
Haiti,HTI,80000000,126000000,190000000,360000000,416000000,383000000,456000000,447000000,546000000,578000000,609000000,511000000
Hungary,HUN,4761000000,4998000000,5628000000,7533000000,7013000000,6595000000,7239000000,6149000000,6671000000,7483000000,6929000000,7481000000
IBRD only,IBD,2.0249E+11,2.28498E+11,2.74102E+11,3.05254E+11,2.77301E+11,3.05038E+11,3.3729E+11,3.61062E+11,3.85134E+11,3.89514E+11,3.77789E+11,3.78164E+11
IDA & IBRD total,IBT,2.17133E+11,2.45616E+11,2.95673E+11,3.29607E+11,3.00894E+11,3.33126E+11,3.64503E+11,3.9113E+11,4.17881E+11,4.24719E+11,4.12221E+11,4.13718E+11
IDA total,IDA,14725155696,17239087477,21765885612,24586083606,23876303800,28501859951,27471041830,30471865293,33269625546,36019749226,35266912256,
IDA blend,IDB,3490053563,4254230000,5062900000,5529700000,4882100000,5344400000,5975385848,6009457242,6087524731,7060656951,6572566007,7439921275
Indonesia,IDN,5094000000,4890000000,5831000000,8150000000,6053000000,7618000000,9038000000,9463000000,10302000000,11567000000,12054000000,12599000000
IDA only,IDX,11659780575,13462864581,17343291095,19802198144,19775186217,24146796120,22374182035,25570030165,28493100159,30275936512,30061651499,
Isle of Man,IMN,,,,,,,,,,,,
India,IND,7659000000,8915000000,11234000000,12462000000,11136000000,14490000000,17708000000,18340000000,19042000000,20756000000,21472000000,23111000000
Not classified,INX,,,,,,,,,,,,
Ireland,IRL,6780000000,7664000000,9263000000,9967000000,8458000000,8187000000,9526000000,9064000000,9538000000,11093000000,10802000000,11427000000
"Iran, Islamic Rep.",IRN,1025000000,1464000000,1950000000,1978000000,2259000000,2631000000,2489000000,2483000000,3306000000,4197000000,4086000000,
Iraq,IRQ,186000000,170000000,555000000,867000000,1432000000,1736000000,1557000000,1640000000,2188000000,2504000000,4076000000,2479000000
Iceland,ISL,635000000,702000000,848000000,881000000,550000000,562000000,751000000,865000000,1078000000,1375000000,1618000000,2411000000
Israel,ISR,2750000000,3670000000,4234000000,5271000000,4828000000,5511000000,5752000000,6068000000,6498000000,6495000000,6500000000,6426000000
Italy,ITA,38374000000,41644000000,46144000000,46191000000,40375000000,38438000000,43241000000,40960000000,43829000000,45547000000,39420000000,40373000000
Jamaica,JAM,1783000000,2094000000,2142000000,2222000000,2070000000,2095000000,2060000000,2069000000,2074000000,2255000000,2401000000,2539000000
Jordan,JOR,1759000000,2426000000,2754000000,3539000000,3472000000,4390000000,4351000000,5123000000,5145000000,5518000000,4968000000,4943000000
Japan,JPN,15554000000,11490000000,12422000000,13781000000,12537000000,15356000000,12533000000,16197000000,16865000000,20790000000,27285000000,33427000000
Kazakhstan,KAZ,801000000,973000000,1214000000,1255000000,1185000000,1236000000,1524000000,1572000000,1779000000,1701000000,1734000000,1716000000
Kenya,KEN,969000000,1181000000,1514000000,1398000000,1124000000,1620000000,1844000000,2004000000,1829000000,1745000000,1596000000,1620000000
Kyrgyz Republic,KGZ,94000000,189000000,392000000,569000000,300000000,212000000,405000000,486000000,585000000,468000000,482000000,477000000
Cambodia,KHM,929000000,1109000000,1169000000,1280000000,1463000000,1671000000,2258000000,2663000000,2895000000,3220000000,3418000000,3523000000
Kiribati,KIR,3100000,2300000,3300000,3300000,3900000,4300000,4900000,4900000,3400000,3200000,1800000,3400000
St. Kitts and Nevis,KNA,121000000,132000000,125000000,110000000,83000000,90000000,94000000,95000000,101000000,310000000,308000000,331000000
"Korea, Rep.",KOR,8290000000,8445000000,9266000000,13456000000,13289000000,14367000000,17418000000,18851000000,19644000000,22704000000,19055000000,21053000000
Kuwait,KWT,413000000,508000000,530000000,610000000,660000000,574000000,644000000,780000000,619000000,615000000,931000000,831000000
Latin America & Caribbean (excluding high income),LAC,39125000000,42925700000,47521600000,51732800000,47237100000,49738700000,53760500000,57577700000,61702000000,67925000000,70495000000,75263396706
Lao PDR,LAO,143000000,160000000,190000000,280000000,271000000,385000000,413000000,461000000,613000000,642400000,725000000,713000000
Lebanon,LBN,5969000000,5457000000,5796000000,6317000000,7157000000,8026000000,6797000000,7361000000,7032000000,6835000000,7087000000,7153000000
Liberia,LBR,67000000,124000000,131000000,158000000,123000000,12000000,232000000,,,55000000,46000000,
Libya,LBY,301000000,244000000,99000000,99000000,159000000,170000000,,,,,,
St. Lucia,LCA,382000000,294000000,302000000,311000000,296000000,309000000,321000000,337000000,354000000,778000000,810000000,770000000
Latin America & Caribbean,LCN,53086495956,57575874916,63282353047,67905809028,62444972007,65719453058,70873213677,75756218758,80020968677,87484783374,90919333642,96473569214
Least developed countries: UN classification,LDC,6431873808,7396042531,9722866171,11579496671,11664791133,13136227635,15513723802,17726439016,20690820363,22315968100,21905722785,21169815927
Low income,LIC,5269007190,6372923090,8215888991,9784681260,9027343143,9749568395,12045957805,12873415286,14481172313,13901823623,14376413107,13821427029
Liechtenstein,LIE,,,,,,,,,,,,
Sri Lanka,LKA,729000000,733000000,750000000,803000000,754000000,1044000000,1421000000,1756000000,2506000000,3278000000,3978000000,4591000000
Lower middle income,LMC,50820185436,58953641187,73526996643,82087224029,73476731481,88367560097,89436033953,98625811894,99632939333,1.05333E+11,1.01424E+11,1.02366E+11
Low & middle income,LMY,2.091E+11,2.36139E+11,2.81926E+11,3.14418E+11,2.88431E+11,3.20633E+11,3.49541E+11,3.75387E+11,4.01811E+11,4.0744E+11,3.96508E+11,3.97013E+11
Lesotho,LSO,27000000,29000000,31000000,30000000,30000000,23000000,24000000,22000000,17000000,16000000,34000000,48000000
Late-demographic dividend,LTE,1.33101E+11,1.55637E+11,1.88537E+11,2.08417E+11,1.87785E+11,2.05311E+11,2.31868E+11,2.51499E+11,2.72951E+11,2.73913E+11,2.70274E+11,2.84498E+11
Lithuania,LTU,920000000,1038000000,1154000000,1248000000,972000000,958000000,1321000000,1317000000,1374000000,1383000000,1310000000,1405000000
Luxembourg,LUX,3770000000,3819000000,4351000000,4918000000,4546000000,4519000000,5358000000,5395000000,5638000000,6042000000,4753000000,4583000000
Latvia,LVA,446000000,622000000,880000000,801000000,724000000,640000000,771000000,745000000,1190000000,1298000000,1279000000,1282000000
"Macao SAR, China",MAC,7181000000,8482000000,11198000000,13749000000,15182000000,22688000000,31118000000,36521000000,43665000000,43303000000,31488000000,30568000000
St. Martin (French part),MAF,,,,,,,,,,,,
Morocco,MAR,5426000000,6900000000,8307000000,8885000000,7980000000,8176000000,9101000000,8491000000,8201000000,9070000000,7765000000,7921000000
Monaco,MCO,,,,,,,,,,,,
Moldova,MDA,138000000,150000000,229000000,293000000,240000000,222000000,253000000,279000000,324000000,328000000,291000000,331000000
Madagascar,MDG,275000000,382000000,473000000,440000000,328000000,425000000,507000000,596000000,608000000,739000000,696000000,913000000
Maldives,MDV,826000000,1235000000,1515000000,1559000000,1473000000,1713000000,1966000000,2032000000,2422000000,2811000000,2691000000,2864000000
Middle East & North Africa,MEA,44696604705,51519246376,63073104920,71277956653,71406070136,82852450926,73905842989,80912690824,81421332726,91132992517,93890554184,92000532995
Mexico,MEX,12801000000,13329000000,14055000000,14726000000,12542000000,12628000000,12458000000,13320000000,14311000000,16606000000,18729000000,20619000000
Marshall Islands,MHL,3690000,3580000,3300000,2700000,3100000,3700000,4780000,4090000,4300000,5400000,,
Middle income,MIC,2.0476E+11,2.30946E+11,2.75305E+11,3.06603E+11,2.81226E+11,3.12825E+11,3.40042E+11,3.65229E+11,3.90463E+11,3.96462E+11,3.85276E+11,3.8611E+11
"Macedonia, FYR",MKD,116000000,156000000,219000000,262000000,232000000,199000000,242000000,237000000,270000000,298000000,268000000,283000000
Mali,MLI,149000000,175400000,227000000,286000000,196000000,208000000,218000000,144000000,178200000,214000000,186000000,
Malta,MLT,924000000,966000000,1185000000,1082000000,899000000,1066000000,1276000000,1260000000,1402000000,1521000000,1381000000,1451000000
Myanmar,MMR,83000000,59000000,97000000,80000000,75000000,91000000,334000000,550000000,964000000,1687000000,2266000000,2269000000
Middle East & North Africa (excluding high income),MNA,27424100000,30514800000,36997800000,42386800000,42990000000,50589000000,39951453436,42727255845,39372596183,43239459358,39491710834,33224534389
Montenegro,MNE,,,660000000,859000000,792000000,765000000,926000000,860000000,929000000,959000000,947000000,978000000
Mongolia,MNG,203000000,261000000,349000000,272000000,253000000,288000000,197000000,215000000,236000000,257000000,279000000,379000000
Northern Mariana Islands,MNP,,,,,,,,,,,,
Mozambique,MOZ,138000000,145000000,182000000,213000000,217000000,135000000,171000000,224000000,228000000,225000000,202000000,114000000
Mauritania,MRT,,,,,,,,50000000,50000000,42000000,31000000,33000000
Mauritius,MUS,1189000000,1302000000,1663000000,1823000000,1390000000,1585000000,1808000000,1778000000,1593000000,1719000000,1679000000,1824000000
Malawi,MWI,48000000,45000000,43000000,43000000,46000000,45000000,36000000,35000000,33000000,36000000,39000000,43000000
Malaysia,MYS,10389000000,12280000000,17948000000,18553000000,17231000000,18152000000,19649000000,20251000000,21500000000,22600000000,17666000000,18084000000
North America,NAC,1.38393E+11,1.4411E+11,1.62753E+11,1.83343E+11,1.61936E+11,1.86876E+11,2.08118E+11,2.22141E+11,2.39884E+11,2.57199E+11,2.67053E+11,2.63431E+11
Namibia,NAM,363000000,473000000,542000000,484000000,512000000,473000000,520000000,635000000,361000000,552000000,546000000,378000000
New Caledonia,NCL,149000000,122000000,142000000,152000000,141000000,129000000,166000000,165000000,168000000,187000000,158000000,
Niger,NER,43900000,39000000,44000000,86000000,69000000,105500000,54000000,51000000,59000000,100000000,80000000,
Nigeria,NGA,139000000,209000000,337000000,959000000,791000000,736000000,688000000,638000000,616000000,601000000,470000000,1085000000
Nicaragua,NIC,206000000,231000000,255000000,301000000,334000000,313000000,390000000,421000000,417000000,445000000,529000000,642000000
Netherlands,NLD,8770000000,9273000000,11313000000,12874000000,12063000000,11653000000,12897000000,17675000000,19429000000,19726000000,17592000000,18317000000
Norway,NOR,4243000000,4289000000,5322000000,5702000000,4949000000,5299000000,6565000000,6784000000,7175000000,7503000000,6370000000,6196000000
Nepal,NPL,160000000,157000000,234000000,353000000,439000000,378000000,415000000,379000000,460000000,511000000,509000000,498000000
Nauru,NRU,,,,,,,,,,,,
New Zealand,NZL,6486000000,6148000000,7190000000,6961000000,5979000000,6523000000,7295000000,7142000000,7419000000,8402000000,9140000000,9418000000
OECD members,OED,5.74809E+11,6.05046E+11,6.88674E+11,7.51059E+11,6.65241E+11,6.97266E+11,7.79643E+11,7.93911E+11,8.49042E+11,9.0752E+11,8.56428E+11,8.63804E+11
Oman,OMN,627000000,749000000,905000000,1105000000,1092000000,1072000000,1515000000,1723000000,1888000000,1972000000,2247000000,2497000000
Other small states,OSS,,,,,,,,,,,,
Pakistan,PAK,828000000,919000000,912000000,986000000,950000000,998000000,1127000000,1014000000,938000000,971000000,915000000,879000000
Panama,PAN,1108000000,1425000000,1806000000,2208000000,2280000000,2621000000,3630000000,4585000000,5419000000,5749000000,5754000000,6455000000
Peru,PER,1438000000,1775000000,2007000000,2396000000,2440000000,2475000000,2814000000,3074000000,3916000000,3907000000,4140000000,4303000000
Philippines,PHL,2863000000,4051000000,5523000000,3293000000,2916000000,3441000000,4053000000,4963000000,5599000000,6059000000,6415000000,6333000000
Palau,PLW,63000000,60000000,68000000,78000000,76000000,76000000,94000000,109000000,117000000,131000000,156000000,
Papua New Guinea,PNG,9400000,3930000,4500000,3700000,2100000,2400000,5100000,2400000,3700000,2800000,1700000,1600000
Poland,POL,7161000000,8154000000,11728000000,12895000000,9889000000,10037000000,11649000000,11888000000,12432000000,12924000000,11355000000,12052000000
Pre-demographic dividend,PRE,5529192633,6303516256,8754112333,9880465826,9930993239,10990462315,12220257138,13722205693,15692220338,16285719142,17155732948,15225256869
Puerto Rico,PRI,3239000000,3369000000,3414000000,3535000000,3176000000,3211000000,3143000000,3193000000,3311000000,3439000000,3825000000,3985000000
"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,
Portugal,PRT,9042000000,10482000000,12948000000,14072000000,12344000000,12985000000,14901000000,14582000000,16213000000,17718000000,15823000000,17185000000
Paraguay,PRY,96000000,112000000,121000000,128000000,225000000,243000000,261000000,291000000,299000000,314000000,348000000,356000000
West Bank and Gaza,PSE,52000000,25000000,99000000,146000000,193000000,409000000,615000000,469000000,524000000,412000000,312000000,284000000
Pacific island small states,PSS,1020252243,1025176328,1123577466,1424963678,1188124262,1389518323,1575485599,1670654362,1701679118,1762609070,1728766809,
Post-demographic dividend,PST,5.67293E+11,6.01128E+11,6.8523E+11,7.48674E+11,6.65393E+11,7.15616E+11,8.11323E+11,8.33003E+11,8.93847E+11,9.45457E+11,8.76414E+11,8.86527E+11
French Polynesia,PYF,759000000,463000000,537000000,522000000,440000000,405000000,457000000,435000000,458000000,510000000,466000000,
Qatar,QAT,760000000,874000000,,,,,4463000000,7220000000,8452000000,10576000000,12131000000,12593000000
Romania,ROU,1324000000,1675000000,2073000000,2626000000,1688000000,1631000000,2016000000,1904000000,2048000000,2225000000,2097000000,2166000000
Russian Federation,RUS,7805000000,9720000000,12426000000,15821000000,12369000000,13239000000,16961000000,17876000000,20198000000,19451000000,13204000000,12823000000
Rwanda,RWA,67000000,148000000,177000000,224000000,223000000,224000000,298000000,337000000,364000000,376000000,457000000,470000000
South Asia,SAS,10332764644,12108880939,14814675272,16316000000,14988000000,18960000000,22962000000,23896000000,25806000000,28693000000,29921400000,32306000000
Saudi Arabia,SAU,4626000000,4769000000,6907000000,6775000000,6744000000,7536000000,9317000000,8400000000,8690000000,9263000000,11183000000,12139000000
Sudan,SDN,114000000,194000000,390000000,255000000,231000000,82000000,179000000,772000000,773000000,967000000,949000000,1009000000
Senegal,SEN,334000000,329000000,622000000,637000000,474000000,464000000,524000000,469000000,495000000,481000000,,
Singapore,SGP,6209000000,7536000000,9066000000,10615000000,9225000000,14178000000,17930000000,18796000000,19209000000,19134000000,16563000000,18386000000
Solomon Islands,SLB,6400000,30900000,33100000,31200000,39300000,50800000,65900000,65400000,70500000,64800000,60000000,71000000
Sierra Leone,SLE,64000000,23000000,22000000,34000000,25000000,26000000,44000000,47000000,66000000,35000000,37000000,
El Salvador,SLV,656000000,686000000,793000000,711000000,549000000,646000000,729000000,900000000,1054000000,1285000000,1203000000,1161000000
San Marino,SMR,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,
Serbia,SRB,308000000,416000000,1018000000,1114000000,986000000,950000000,1149000000,1080000000,1221000000,1352000000,1322000000,1460000000
Sub-Saharan Africa (excluding high income),SSA,19209858806,21492867094,25493040937,25649139466,23739993784,26717112414,29859814100,32443133087,32548255566,33258795147,30917803240,30641330207
South Sudan,SSD,,,,,,,,,,800000,22000000,23500000
Sub-Saharan Africa,SSF,19504398562,21846713406,25926956589,26096273958,24122265070,27102369340,30275601066,32912830017,33079096873,33785016909,31448555056,31198802043
Small states,SST,,,,,,,,,,,,
Sao Tome and Principe,STP,7300000,6700000,5000000,7700000,8300000,11100000,15900000,15000000,30900000,56200000,62600000,69200000
Suriname,SUR,96000000,109000000,73000000,83000000,70000000,69000000,69000000,79000000,92000000,103000000,99000000,74000000
Slovak Republic,SVK,1282000000,1655000000,2352000000,3004000000,2539000000,2335000000,2514000000,2366000000,2702000000,2642000000,2480000000,2800000000
Slovenia,SVN,1894000000,2074000000,2465000000,2954000000,2735000000,2721000000,2953000000,2737000000,2900000000,2944000000,2521000000,2627000000
